match_id,match_date,home_team,away_team,period,minute,second,team,player,jersey_number,position,event_type,outcome,recipient,x,y,end_x,end_y,xg,possession_team,duration,card,notes,home_colour,away_colour
FICTIONAL-DEMO-001,2026-08-16,Aurora Forge FC,Velvet Comet Athletic,1,1,21,Aurora Forge FC,Lucas Martin,6,Defensive Midfield,Pass,Complete,Archie Brown,56.4,47.2,78.5,61.8,,Aurora Forge FC,1.7,,,#6A3DB8,#18A6A6
FICTIONAL-DEMO-001,2026-08-16,Aurora Forge FC,Velvet Comet Athletic,1,1,30,Aurora Forge FC,Oliver Chen,3,Left Back,Pass,Complete,Charlie Davis,86.0,70.7,103.7,54.6,,Aurora Forge FC,0.6,,,#6A3DB8,#18A6A6
FICTIONAL-DEMO-001,2026-08-16,Aurora Forge FC,Velvet Comet Athletic,1,2,9,Aurora Forge FC,Charlie Davis,11,Left Wing,Pass,Complete,Oliver Chen,52.6,7.3,62.8,24.0,,Aurora Forge FC,0.7,,,#6A3DB8,#18A6A6
FICTIONAL-DEMO-001,2026-08-16,Aurora Forge FC,Velvet Comet Athletic,1,2,15,Velvet Comet Athletic,Cooper Wright,7,Right Wing,Pass,Complete,Harrison King,73.7,20.5,98.9,18.9,,Velvet Comet Athletic,2.3,,Progressive forward pass,#6A3DB8,#18A6A6
FICTIONAL-DEMO-001,2026-08-16,Aurora Forge FC,Velvet Comet Athletic,1,3,0,Velvet Comet Athletic,Harrison King,8,Centre Midfield,Pass,Complete,Mason Clark,25.9,19.7,48.0,13.4,,Velvet Comet Athletic,1.3,,,#6A3DB8,#18A6A6
FICTIONAL-DEMO-001,2026-08-16,Aurora Forge FC,Velvet Comet Athletic,1,3,38,Aurora Forge FC,Ethan Cole,4,Centre Back,Pass,Complete,Jack Murphy,17.8,37.4,44.6,30.6,,Aurora Forge FC,0.8,,Progressive forward pass,#6A3DB8,#18A6A6
FICTIONAL-DEMO-001,2026-08-16,Aurora Forge FC,Velvet Comet Athletic,1,4,25,Velvet Comet Athletic,Oscar Baker,9,Striker,Pass,Complete,William Scott,72.5,13.7,85.8,19.1,,Velvet Comet Athletic,0.9,,,#6A3DB8,#18A6A6
FICTIONAL-DEMO-001,2026-08-16,Aurora Forge FC,Velvet Comet Athletic,1,4,39,Aurora Forge FC,Noah Singh,2,Right Back,Pass,Complete,Leo Thompson,60.7,70.2,50.4,77.6,,Aurora Forge FC,1.8,,,#6A3DB8,#18A6A6
FICTIONAL-DEMO-001,2026-08-16,Aurora Forge FC,Velvet Comet Athletic,1,5,2,Aurora Forge FC,Oliver Chen,3,Left Back,Pass,Complete,Henry Wilson,51.4,65.4,70.7,62.5,,Aurora Forge FC,0.7,,,#6A3DB8,#18A6A6
FICTIONAL-DEMO-001,2026-08-16,Aurora Forge FC,Velvet Comet Athletic,1,5,6,Velvet Comet Athletic,Ryan Patel,1,Goalkeeper,Pass,Complete,Alexander Young,39.8,64.3,47.4,71.1,,Velvet Comet Athletic,2.3,,,#6A3DB8,#18A6A6
FICTIONAL-DEMO-001,2026-08-16,Aurora Forge FC,Velvet Comet Athletic,1,5,25,Aurora Forge FC,Noah Singh,2,Right Back,Interception,Won,,47.8,63.9,,,,Aurora Forge FC,1.2,,,#6A3DB8,#18A6A6
FICTIONAL-DEMO-001,2026-08-16,Aurora Forge FC,Velvet Comet Athletic,1,6,2,Aurora Forge FC,Charlie Davis,11,Left Wing,Pass,Complete,Max Anderson,41.1,56.1,54.0,64.1,,Aurora Forge FC,2.0,,,#6A3DB8,#18A6A6
FICTIONAL-DEMO-001,2026-08-16,Aurora Forge FC,Velvet Comet Athletic,1,6,19,Velvet Comet Athletic,Harrison King,8,Centre Midfield,Pass,Complete,Ryan Patel,78.8,38.5,93.7,37.5,,Velvet Comet Athletic,1.3,,,#6A3DB8,#18A6A6
FICTIONAL-DEMO-001,2026-08-16,Aurora Forge FC,Velvet Comet Athletic,1,6,37,Aurora Forge FC,Max Anderson,9,Striker,Shot,Off Target,,103,39,,,0.09,Aurora Forge FC,0.8,,Wide after cutback,#6A3DB8,#18A6A6
FICTIONAL-DEMO-001,2026-08-16,Aurora Forge FC,Velvet Comet Athletic,1,6,58,Aurora Forge FC,Archie Brown,10,Attacking Midfield,Duel,Won,,24.5,50.7,,,,Aurora Forge FC,0.5,,,#6A3DB8,#18A6A6
FICTIONAL-DEMO-001,2026-08-16,Aurora Forge FC,Velvet Comet Athletic,1,7,30,Velvet Comet Athletic,Joshua Hall,10,Attacking Midfield,Pressure,Applied,,48.8,9.7,,,,Velvet Comet Athletic,1.1,,,#6A3DB8,#18A6A6
